species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,year
Gentoo,Torgersen,40.96473073680488,18.839681163494642,209.80875256672218,3708.134386381762,Male,2007
Chinstrap,Biscoe,54.37154726100246,16.845582733564687,184.74625276806637,5790.030036476835,Female,2008
Gentoo,Torgersen,39.10261800600351,15.398463996765994,208.55568933897194,3751.9856296628323,Male,2007
Gentoo,Biscoe,50.84132486115806,21.475845801324773,210.36186445149104,5978.772581918094,Female,2007
Adelie,Biscoe,53.00626614696638,16.679922938782173,180.96946633459024,5414.262852948423,Female,2009
Gentoo,Biscoe,48.48006536671572,16.891651004369272,175.61962799952943,5597.6643966291795,Female,2007
Adelie,Biscoe,45.06834518512936,14.474440098010021,218.06493357803794,2764.823600161636,Female,2009
Gentoo,Biscoe,43.425625139049885,19.776400209499407,199.12822500238988,6166.117285466493,Male,2007
Gentoo,Dream,41.69387732993237,18.926930696564504,175.43166393482306,5316.015571453164,Male,2007
Adelie,Torgersen,57.662051466815214,14.954464747425586,230.69711271301625,3797.1039433900796,Male,2009
Adelie,Dream,54.94203371416255,13.792000783173078,175.40905309878562,5685.820793491849,Female,2008
Gentoo,Biscoe,58.6382400433291,18.81619413742759,213.00707850265462,3713.4763142937477,Female,2009
Chinstrap,Torgersen,35.51817364585248,18.597894199961537,230.0370565905414,5841.91382243806,Female,2009
Adelie,Biscoe,52.198855568100214,15.395380026784958,186.11162614873962,3105.289405482973,Female,2009
Chinstrap,Torgersen,57.90436256257854,21.087253922903447,180.39271275254458,5233.269518858864,Female,2008
Chinstrap,Dream,37.08390931955566,14.368886290959562,179.1617114259233,4646.514515921677,Male,2007
Chinstrap,Torgersen,33.92864735258638,16.731612328757855,189.89323370648813,3047.524092703587,Female,2009
Adelie,Torgersen,52.48081785547663,21.02637372940783,177.96170284962815,3570.81778173182,Male,2009
Chinstrap,Torgersen,47.89801061244758,16.625709462179426,212.83751915995379,2744.654530598333,Female,2008
Adelie,Torgersen,55.250291360852486,18.46361796037832,175.6752160896737,4387.564675672221,Female,2009
Chinstrap,Torgersen,35.943740357222964,16.439792942887472,202.0559055608376,3784.5549387360015,Male,2007
Gentoo,Biscoe,53.96985107614698,15.403407699728827,230.80511437732562,4854.086943471932,Male,2008
Gentoo,Torgersen,37.64475130131298,21.365412242862558,220.0242459008551,3770.056107751022,Female,2007
Adelie,Torgersen,36.60053842880688,16.53840565304636,208.29794685562965,3779.708801425145,Female,2007
Gentoo,Dream,36.61730944310231,20.610433310904728,190.0689636264101,5375.495515433772,Female,2008
Gentoo,Torgersen,54.50080480636301,15.031618689485123,208.8098543412067,2873.3142095220724,Female,2009
Chinstrap,Dream,50.39292356914551,14.890079513810699,203.09544637078744,5950.421982691154,Male,2007
Adelie,Biscoe,46.48429918115078,13.361526296229895,197.1389196495319,5768.149947808253,Female,2007
Chinstrap,Torgersen,41.96783831339632,18.574001333157433,179.71191222767177,5104.096859615063,Male,2007
Chinstrap,Dream,56.22301487236048,16.195621287279593,224.30964869918753,4835.597652386583,Female,2007
Chinstrap,Dream,42.89224045412247,20.360609298652953,198.537294280458,5912.288993302748,Male,2008
Chinstrap,Biscoe,54.55648458546837,17.07496321620908,183.48272819742513,3367.188646303372,Male,2008
Chinstrap,Torgersen,44.176209985681005,21.232824794483662,193.69780170176008,2984.2889838869833,Female,2007
Chinstrap,Torgersen,42.465971809184964,14.658414331906217,196.43365539920669,3562.236611674337,Male,2009
Chinstrap,Dream,44.82369410591418,20.39643461082713,220.82473583844558,5560.481803320685,Female,2007
Adelie,Torgersen,40.38789153951391,19.62341356345063,215.28324845312272,2824.81296021534,Male,2009
Gentoo,Dream,52.65925795484691,19.575743495010038,217.38898872483904,4798.104606300563,Female,2007
Chinstrap,Torgersen,45.924810727543175,20.196179116181856,172.65084460129017,6283.575058288716,Male,2009
Chinstrap,Dream,38.48584911653748,19.49260152392119,196.55308589260594,5780.505937815142,Female,2007
Chinstrap,Torgersen,56.83830076505063,18.36025070170389,200.3993049464841,4577.204480556922,Female,2009
Chinstrap,Biscoe,42.657008587763315,14.202456972532055,173.13234433256034,2929.1072734319123,Male,2007
Chinstrap,Torgersen,47.04770368063469,13.373219907726515,187.328979315957,5692.944651788555,Male,2007
Chinstrap,Torgersen,57.02798305152504,20.83512192165177,216.85709956420595,4856.322629437958,Male,2009
Gentoo,Biscoe,49.26654488763478,18.279862641974198,180.08947263801093,3113.758789414441,Male,2008
Gentoo,Torgersen,35.31469611948001,19.79091324419988,203.58329775570292,3037.8862253640823,Female,2009
Chinstrap,Biscoe,57.94538339937057,17.14478775270542,184.69691044901703,5974.656549971733,Male,2008
Gentoo,Torgersen,49.36197145946399,14.085388787284113,172.7151257039897,5109.120946577083,Female,2007
Adelie,Dream,41.30990440306987,14.151560654501424,186.23088599837294,5685.43247754032,Male,2009
Chinstrap,Dream,35.92998199824315,18.858748412723358,229.57655153969318,5864.3240410161625,Female,2009
Adelie,Torgersen,53.93569270493314,16.714569517155486,219.2906896010964,4758.38046737396,Female,2009
Adelie,Torgersen,49.15200078803412,14.784407704282827,228.61502201494096,4562.806866318148,Female,2008
Chinstrap,Torgersen,46.77018002934884,17.22939419262807,200.78338859165538,4249.538677155565,Female,2008
Gentoo,Dream,56.68204603390134,13.639355071431126,178.4744357219727,3841.0077160480296,Male,2007
Adelie,Torgersen,53.7864233086746,17.988559776080947,204.32960984944788,4264.545459091362,Male,2008
Chinstrap,Dream,36.27105919265066,15.359544597254821,198.8082627390377,5485.966760628563,Female,2008
Adelie,Biscoe,40.672356864377576,19.799496445352382,221.81706788163734,4866.924351654474,Male,2007
Adelie,Dream,38.93345134489781,15.707040454958019,177.78687226627042,5913.083843837446,Male,2009
Adelie,Dream,52.558523045748615,16.92384925228713,200.8062270842849,4296.168051765076,Female,2009
Adelie,Biscoe,33.022141955233934,13.197612535228044,180.85287121694506,4885.5224833875145,Male,2007
Gentoo,Dream,47.7719663339612,13.708553857474294,191.15587968651354,4972.70719113116,Male,2009
Adelie,Torgersen,53.06761385786899,16.39694587381615,215.50406756588018,4830.109784302772,Male,2008
Adelie,Torgersen,56.211055010948115,17.131486211623837,200.0850696327572,5229.4815831078595,Female,2007
Adelie,Dream,41.50724808968746,18.14017260420215,194.1774088236004,3554.760486149303,Male,2007
Gentoo,Torgersen,54.68457587848036,15.549965661158147,195.27410043563208,4544.509599164847,Female,2007
Adelie,Dream,35.1423727662682,18.937847843462958,199.10735933595322,3075.2092901100514,Male,2009
Adelie,Torgersen,55.37743802269925,20.325028136389317,218.31597608638634,4084.2407795213253,Male,2007
Gentoo,Torgersen,35.605938214129516,19.650748306704138,224.63299664747382,4455.601447036552,Male,2007
Gentoo,Dream,43.0254004904101,13.4327981329262,228.36474650373177,5048.007334363701,Female,2007
Gentoo,Torgersen,54.02562255893773,17.13625835696576,218.4272997890624,6121.911789310332,Female,2009
Adelie,Dream,36.222729252091284,13.98141349871267,190.60900684913275,4862.343839574081,Male,2008
Gentoo,Torgersen,38.40441336889764,15.13317813324523,212.599947659106,5376.938098235615,Female,2007
Gentoo,Torgersen,51.961945630809325,21.38796578344403,197.81858431926813,4522.55781418273,Male,2008
Adelie,Biscoe,51.90100475501704,14.29696256037271,187.025566700717,4982.774512954793,Female,2009
Gentoo,Biscoe,49.73155990434567,17.290660488991392,221.61142318612943,2955.3559780815845,Female,2009
Adelie,Dream,51.18358222284525,18.2925081682722,174.26715458877717,3615.809691030649,Male,2009
Chinstrap,Biscoe,47.024922192058895,19.000705752570475,225.20395753598999,4002.6711355384996,Male,2009
Gentoo,Dream,39.0244741199412,17.801048941290077,199.22717041285932,4400.976078023449,Male,2008
Chinstrap,Biscoe,41.60663982135779,13.182075118321142,209.59488713168855,2864.3354838085816,Male,2007
Adelie,Torgersen,37.09393721203921,15.842274989249532,210.9018814101412,3204.0867511919437,Female,2009
Gentoo,Dream,57.082390436674785,17.448777804431575,224.81194670168566,3696.5315080487007,Female,2009
Adelie,Dream,48.14327435606832,13.8380785928166,209.56351124786522,6197.517687243782,Female,2008
Chinstrap,Torgersen,43.1234139610001,16.045266222157117,208.22208150084364,3892.8492255709825,Male,2008
Adelie,Dream,44.80515960021365,13.37890611384748,175.9324703930807,4435.347809203497,Male,2009
Gentoo,Dream,58.15029183932492,13.760059376102173,202.58607329476703,3405.9517658582145,Female,2007
Gentoo,Biscoe,36.31716358569221,16.434155520093405,180.85997104820547,4898.808255872766,Male,2007
Chinstrap,Dream,48.221320380461925,14.214812333961707,215.50859235456764,3710.4595758575074,Female,2009
Adelie,Torgersen,46.01193866932282,17.86734312539709,202.22109332794778,3445.1732823783364,Female,2008
Gentoo,Biscoe,48.91499147445282,18.891505740753033,212.13343897329284,4559.661462405525,Female,2009
Chinstrap,Biscoe,32.59803005507312,19.824928272516296,174.45870113554068,2719.820876977515,Female,2009
Gentoo,Torgersen,56.08340749596417,14.781262051656405,177.00272894670238,2727.5905175372113,Female,2008
Gentoo,Torgersen,57.73325276829934,14.506853690976186,214.26307989569824,3488.647712766688,Male,2009
Adelie,Biscoe,47.64116254870325,13.978369858808962,176.25297582392173,2832.196905002956,Male,2009
Gentoo,Dream,51.25789765661454,18.44601409616655,176.20414693815025,3088.892714870489,Male,2009
Adelie,Biscoe,57.468732982375634,19.03439610248997,172.71440003885837,3919.8983376195056,Female,2008
Gentoo,Torgersen,51.54906244361847,13.365323616535393,228.43358249966934,5589.308446487326,Female,2007
Chinstrap,Biscoe,36.29482368014219,20.964182868446994,215.5129932080814,4759.375116129483,Female,2007
Gentoo,Torgersen,47.94792990458736,13.536558782672367,192.84183310162177,4545.603813443099,Female,2008
Adelie,Biscoe,48.78466377552854,17.64688921652899,189.49559929597166,3756.5597635492377,Male,2007
Adelie,Dream,43.76359346081561,19.056108363387697,192.63249055500512,6054.313389958139,Male,2009
Chinstrap,Biscoe,52.35221647967988,20.41614063946712,217.70455833968973,4129.25414845389,Female,2007
Gentoo,Biscoe,57.795092906147914,19.098330229912392,211.02086605315446,3013.5339604647775,Female,2009
Gentoo,Torgersen,57.55313410493635,19.83451589778625,182.9265385041806,4921.439458024084,Female,2007
Chinstrap,Torgersen,44.498082713613634,15.951381617359571,182.27245078471097,3109.818216515765,Male,2008
Gentoo,Torgersen,35.21404626062077,19.944530955470704,177.80534333309043,3942.8033140860916,Male,2007
Gentoo,Biscoe,59.183132971464204,13.772964709631271,210.95786046237896,4526.682979384112,Male,2007
Adelie,Dream,55.16969737726319,20.616459910908432,217.09798707108243,5847.201088866633,Female,2007
Gentoo,Torgersen,35.52822373308984,17.699775959691383,187.63773927117523,4476.767689224427,Female,2008
Gentoo,Torgersen,57.42315177197774,19.965301267684946,173.23575270082387,5228.131557713991,Male,2007
Chinstrap,Biscoe,56.02214995670853,16.899473589953722,176.8481283811092,6274.1406203966535,Female,2008
Chinstrap,Torgersen,46.36804657096698,18.50605263965081,229.1037420558568,3173.3608316327336,Male,2009
Adelie,Dream,48.36007448298555,17.52178235186335,189.4312418711678,3689.03349187027,Female,2007
Gentoo,Dream,43.07257435642858,19.245351982744786,217.3841657224499,4120.473872151527,Male,2008
Gentoo,Torgersen,33.605945067605866,13.785691849056953,208.85515056240155,4218.581442739793,Female,2008
Gentoo,Torgersen,41.317924145262275,13.606957505520736,194.53443873952085,4179.6758709559645,Male,2007
Adelie,Biscoe,54.178469836445316,15.17566716568523,184.13554846953775,5967.399609203598,Male,2009
Adelie,Dream,32.22738063262658,14.440175312950782,179.16179867140497,5270.5175200806825,Male,2008
Chinstrap,Dream,41.271227221506464,20.422981959374493,208.28576511429313,4888.458770726534,Male,2007
Adelie,Torgersen,43.04963907375094,14.941397493807571,217.70339305762948,3813.7417843060157,Male,2009
Gentoo,Biscoe,46.87837908079288,21.297268148880704,209.9903509589267,5665.645383196661,Male,2008
Gentoo,Dream,57.39602945135091,15.929924650877297,203.28782586170036,6138.217841345961,Female,2008
Adelie,Dream,41.624514845063935,14.629790491785073,174.47512218246655,5656.313817180815,Female,2009
Gentoo,Biscoe,41.64121305214626,19.733467459996824,229.14083787806865,2705.6343786893026,Female,2009
Gentoo,Biscoe,52.38128432301808,18.63314531420736,219.1241373076199,4991.044932660265,Male,2007
Adelie,Dream,44.5359933744697,17.284844018206368,189.2765001653569,2884.0873731915626,Male,2007
Adelie,Dream,38.276632630849505,17.765053827876102,229.8182494321722,3627.385993201399,Female,2008
Gentoo,Biscoe,44.54208669364907,19.141294937487018,207.511013788543,2914.288921251978,Male,2009
Gentoo,Dream,35.9735680604445,15.019019827182909,206.36293683422753,4873.663630617795,Male,2009
Gentoo,Torgersen,36.950642128921146,21.469204894876633,216.1363175863424,5171.723688573385,Male,2009
Chinstrap,Torgersen,45.80511375033569,21.288262562032976,219.8944174973181,3112.1554970372586,Male,2008
Chinstrap,Biscoe,43.62044986137507,18.56273576531427,210.73223783255867,4081.819978961926,Male,2009
Chinstrap,Biscoe,57.25826227937275,14.776156587804818,179.5576490356058,4342.451432239952,Female,2009
Adelie,Biscoe,42.06583222570741,18.813917236422846,191.9577828536754,4028.5908783392997,Female,2008
Chinstrap,Torgersen,48.0661796326462,13.706466635425077,226.75693477923693,3135.690001746695,Female,2007
Adelie,Dream,49.487267917787086,13.357481018528771,185.25232109878726,4208.212044674911,Female,2007
Adelie,Torgersen,32.46009755617918,15.264536263494195,193.95785440641328,5404.240972110305,Female,2008
Chinstrap,Dream,50.34727773045954,16.986032836610256,197.49253609370757,2955.6275923197195,Male,2009
Chinstrap,Torgersen,36.995989088918165,20.393489045430396,197.92489439197269,2988.6480506948524,Male,2008
Chinstrap,Dream,58.52943373041002,19.20822018603699,208.16343536717702,3977.1766506095432,Male,2007
Gentoo,Torgersen,36.188225013210605,19.33873477807984,227.64147442693775,6090.21256182813,Male,2007
Chinstrap,Biscoe,43.50216340249315,16.674144009363832,186.20086999811778,5106.861528202491,Female,2008
Gentoo,Torgersen,34.447115872162705,16.005853937394487,179.16858120175417,5143.211844021233,Female,2008
Adelie,Dream,59.51404192576355,16.216725609070664,183.6507589017363,4002.9119670163136,Female,2007
Gentoo,Torgersen,45.910362784109175,21.396256335382887,224.32856911234688,4837.178848350739,Male,2008
Chinstrap,Torgersen,48.4730879763012,13.436917207864852,210.10283794665716,2736.4722624998763,Female,2007
Adelie,Torgersen,33.944603128181754,20.38306456742857,188.86850056511045,4989.945767074352,Male,2008
Adelie,Biscoe,52.723912935977395,17.960873432008103,220.14086939914841,5987.8330112744525,Female,2008
Adelie,Torgersen,37.87240381012861,16.78436952119256,222.82082978544273,4905.264486041349,Female,2008
Gentoo,Biscoe,56.79649295961963,19.192164347487147,221.94434598272642,5845.314936478842,Male,2007
Chinstrap,Biscoe,37.7413401132552,17.188019107967506,226.2166654847337,5306.302999677938,Male,2008
Adelie,Torgersen,37.34391231825083,20.436755199885948,186.88222019022834,3134.010299053285,Female,2007
Adelie,Torgersen,33.10511586582261,20.66589565769457,216.54747379603043,5948.83190622903,Female,2007
Adelie,Torgersen,45.08184099052498,16.642455785737024,199.17183033917425,2939.1978396807895,Male,2008
Gentoo,Dream,47.63313116472195,15.425353496774433,221.67791462051363,4622.28290117195,Female,2008
Gentoo,Torgersen,33.90698758427969,18.07574276018424,214.98094995253518,3211.6936456564476,Female,2007
Chinstrap,Biscoe,53.427009459112796,20.763852103180206,217.81039934348377,2742.143798631255,Male,2007
Gentoo,Torgersen,44.56544295557076,14.8695623876476,210.71354842318323,4219.323336459501,Female,2009
Adelie,Dream,46.52073240650845,18.332919301933256,182.4682973987127,3762.1465475549626,Male,2007
Chinstrap,Torgersen,44.22097554080128,18.405105848777172,204.15658821491937,4449.601777671371,Female,2009
Adelie,Dream,43.12098417407147,19.25814938828836,230.09551463194597,4777.919592244383,Male,2009
Adelie,Dream,47.49010911097599,14.205168555068981,227.30589592333,2857.4606603122106,Female,2009
Gentoo,Torgersen,36.36910676309459,19.112929703329545,174.5472504120237,3142.811862445484,Male,2008
Chinstrap,Biscoe,37.103023588619955,20.735873173591386,181.7240741280368,4711.1126272215315,Female,2008
Gentoo,Dream,55.79910457787173,14.609338114510033,179.77199763381915,3935.4024714215693,Male,2007
Gentoo,Torgersen,58.1181752086749,15.095363929360571,214.83281468913242,5325.024555178013,Female,2009
Chinstrap,Torgersen,42.36600619769321,21.259718789949773,220.24933446155976,5048.249934930983,Female,2008
Adelie,Biscoe,39.54547851144773,14.620206402759713,184.59717061232965,5744.1757067636645,Female,2008
Adelie,Dream,49.809987439072934,20.276834784304466,201.8453088841579,5192.974176009211,Female,2008
Chinstrap,Dream,43.34018970519765,17.23513399416349,221.6014786526608,4247.751878604533,Female,2008
Adelie,Torgersen,32.798124780659485,15.176741024986686,215.2352911412088,5122.679840619956,Female,2008
Chinstrap,Torgersen,36.394196427570236,20.414299170689095,203.99199512401904,3691.3722273195067,Female,2009
Chinstrap,Biscoe,51.78923629330343,16.84056414202239,206.8305137370676,3802.7285956015658,Female,2009
Gentoo,Biscoe,50.22040840252916,17.4244657730094,201.9932722680605,5540.346575714856,Female,2009
Chinstrap,Dream,32.845139793845796,16.117560302958033,189.55535862781042,4307.110259045696,Male,2009
Gentoo,Dream,38.20423445315611,18.08078715205339,205.33629757868195,5574.16922586607,Male,2007
Adelie,Torgersen,38.454556906171966,14.47360052971419,212.64423282095535,5660.720545205802,Female,2009
Adelie,Dream,50.57705044896503,16.38508490787479,223.52605203578764,5787.224415580622,Male,2008
Adelie,Biscoe,32.642039788245015,21.243063507616416,209.54118988477563,5999.886849028346,Female,2009
Adelie,Biscoe,34.96298600457578,15.26832083468947,216.90617068554633,4251.546793847867,Female,2007
Gentoo,Torgersen,54.09769234776271,18.616587982146854,181.44422646231982,3847.9205459561,Male,2008
Adelie,Biscoe,37.009978206494175,15.831596539487437,199.2318909907676,4795.91548773881,Female,2009
Chinstrap,Biscoe,50.05051796592656,19.597174255767445,172.5505655697985,4036.220724375459,Female,2009
Chinstrap,Biscoe,38.65002647878498,14.199338750034139,186.55405300677575,4863.867000480839,Male,2009
Chinstrap,Biscoe,34.83463830088199,21.246496778659775,214.8612411916673,5240.1091055177685,Male,2008
Gentoo,Torgersen,38.78723525248499,16.91183214762257,230.51678712961245,5178.258066571692,Female,2008
Adelie,Torgersen,51.962340626030624,15.082823892110298,177.85150787564575,4048.390393272437,Male,2007
Adelie,Dream,55.63165287292286,13.717372677572106,195.688164635816,3300.69672611551,Male,2008
Adelie,Biscoe,54.931046275592266,14.525966402735342,219.20418715325042,4249.905618463947,Female,2008
Gentoo,Dream,43.022547064507506,17.466101167870548,184.03810244310503,3213.3389186948716,Male,2009
Chinstrap,Torgersen,50.47234125569277,15.930826682022804,204.7500120088349,5904.34932666171,Male,2008
Chinstrap,Torgersen,37.737068123935074,20.06262027341392,215.2512064657508,3945.1588586562866,Female,2009
Adelie,Torgersen,40.161562582177865,16.71945519875917,208.34314156535055,3256.0550900039657,Male,2009
Chinstrap,Torgersen,56.749235009330796,15.189199889736091,183.09345934230956,2791.6119356607032,Male,2008
Chinstrap,Torgersen,32.457552896545245,18.28401788747385,192.96768955245864,5024.960590631343,Female,2007
Gentoo,Torgersen,34.45148459849787,19.036928621837745,218.24371528463843,4992.8483428370755,Female,2007
Gentoo,Torgersen,37.81687201651575,14.503152026367978,204.699364333789,3926.17499969265,Female,2008
Gentoo,Biscoe,32.82963560653005,14.508001416821868,172.30854719903186,2958.1627998515437,Male,2007
Gentoo,Dream,37.08947446496943,13.40803998624176,216.89845484165755,4174.664021622835,Female,2009
Adelie,Torgersen,48.13364292666654,19.285776926551378,174.0833699414741,3820.382982228217,Female,2009
Gentoo,Biscoe,43.689175141293696,18.67595803202316,215.99829318114269,5137.634303046034,Male,2008
Chinstrap,Biscoe,56.64847205461681,17.086899356298435,183.946353049749,4880.805298029685,Female,2007
Adelie,Dream,54.57969794780713,20.191031771341255,228.52633532704343,4012.537421511144,Female,2007
Chinstrap,Torgersen,41.49997717169159,19.867629284780445,193.70850432682298,3484.4131953179644,Female,2009
Chinstrap,Dream,39.23414441936055,18.01697666093272,191.28896536394666,6256.929478160131,Female,2008
Chinstrap,Torgersen,42.54154122459984,20.393478756311374,180.78439496961423,4334.405836306014,Male,2007
Gentoo,Biscoe,48.333110919157214,14.829066164308854,190.0306487139227,5177.787248808853,Female,2008
Gentoo,Biscoe,39.471750122629096,14.040124802940914,223.72239494786385,3205.990683282099,Female,2007
Adelie,Biscoe,49.264094965851186,15.365896736742712,230.78372592000758,4448.122918773832,Male,2009
Adelie,Biscoe,43.35882043525911,13.579529591150244,193.73026229990404,2799.132191530076,Female,2009
Gentoo,Dream,47.28129747342946,17.56182403520867,198.46802722631801,4519.63842447762,Male,2008
Chinstrap,Torgersen,44.09347955122121,20.96748781527768,214.6021853539615,6170.462665623729,Male,2009
Adelie,Torgersen,40.19780838740274,13.430485741615481,224.2855510474394,4083.1441667488807,Male,2007
Gentoo,Dream,58.18246594145931,14.125723277684225,206.98961571702026,2840.385645269682,Female,2009
Gentoo,Torgersen,53.099159339393424,16.898471837580857,195.10001619249192,2811.440847309637,Male,2008
Gentoo,Biscoe,35.953112333577444,20.944550147234402,196.3446886100688,4096.75233580873,Male,2008
Chinstrap,Torgersen,55.982869337192604,15.755711281804704,213.0414706433116,3276.0897712674987,Male,2008
Gentoo,Biscoe,45.50435795186163,17.360772392982497,172.18987755265243,2784.0675467814694,Female,2007
Gentoo,Dream,56.70018623958752,13.449212016023294,208.5557709101306,5422.3690102206365,Female,2007
Gentoo,Torgersen,54.09601953855117,14.346082888081547,192.9740876160401,4350.6828319748065,Female,2007
Gentoo,Dream,43.79337137290392,21.387693032854315,218.85764254534797,3741.2811791015565,Female,2007
Adelie,Torgersen,32.71790597880323,21.206997050062782,177.4864477495648,5940.29945885933,Female,2007
Adelie,Biscoe,39.48862738308602,13.141495839849041,206.70393374995504,3118.100256721892,Female,2009
Gentoo,Dream,46.99494090317384,21.095218997555207,200.3774005032813,6141.3077842391485,Female,2007
Chinstrap,Torgersen,49.520651045219054,18.468607477650202,209.89720602840842,3830.28018255847,Male,2007
Adelie,Biscoe,39.19191134941306,20.390513673968186,175.82636207449514,5898.253220311252,Male,2009
Gentoo,Dream,35.93229203700267,16.919814787324416,206.21904345825976,4870.594355326062,Male,2007
Adelie,Dream,55.06058151198073,17.431006640065704,205.1275906896119,5676.146495069355,Male,2008
Adelie,Torgersen,59.17105996934768,17.20631127415813,205.07894557055408,6242.447387557671,Female,2007
Chinstrap,Torgersen,46.55648001332386,18.701659763387276,207.60577232919084,3738.2595761474845,Male,2007
Gentoo,Torgersen,36.82118036082835,14.273070539953029,211.91160829635538,6160.087747467334,Male,2008
Gentoo,Biscoe,39.58845147928265,13.351778154930495,219.4943509811654,4102.134821648713,Male,2008
Chinstrap,Torgersen,32.60574360505534,15.686611509366003,187.91942248756465,4087.8428570529204,Male,2008
Chinstrap,Dream,57.24321718041372,19.019318406987832,220.67791520062366,3925.3935753162204,Female,2008
Gentoo,Dream,35.338154779478884,14.795568997832767,201.39708525354376,4649.067386451306,Female,2007
Gentoo,Torgersen,47.954203076641974,18.756832439929305,176.54643846892554,3254.9221554425535,Female,2008
Chinstrap,Torgersen,39.63651856889817,21.24726118730107,175.45450482539476,4693.36134728884,Male,2008
Adelie,Dream,47.33989506918432,13.888766012631114,191.72006080306758,4650.137324676014,Female,2009
Adelie,Biscoe,50.01406067967626,18.74985779309106,218.30892164957658,5442.846525377532,Male,2008
Chinstrap,Torgersen,54.91789960194805,16.827501842158398,213.75317514971402,5701.139862975308,Female,2008
Adelie,Torgersen,37.77658497341659,20.392394936771044,218.52828291567198,4285.5888611247265,Female,2009
Chinstrap,Dream,32.40238528810821,14.58805823135804,202.51887433005496,3788.3996976653775,Female,2009
Adelie,Torgersen,35.8643548268922,18.91805799869978,197.97174087937395,3633.60563034154,Female,2007
Adelie,Biscoe,56.85051265082289,20.140168433044124,180.69969907567076,3400.645812137539,Female,2009
Gentoo,Dream,56.13197713296917,21.034759443581795,191.36337246294937,2907.5312959164894,Male,2007
Gentoo,Torgersen,48.52886030968348,18.839283437633025,197.60714260425863,3932.8127238049683,Female,2009
Adelie,Dream,48.61421366192547,17.276268017670787,177.22742535109742,3672.8916916708195,Male,2009
Adelie,Torgersen,50.388508550022024,18.289916817690198,185.01610520996147,6179.102589119067,Male,2007
